Código Departamento|Departamento|Código Entidad|Entidad|Dimensión|Subcategoría|Indicador|Dato Numérico|Dato Cualitativo|Año|Mes|Fuente|Unidad de Medida
19|Cauca|19212|Corinto|Pobreza|Indicadores de pobreza|IPM - Cabecera|58,30||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19256|El Tambo|Pobreza|Indicadores de pobreza|IPM - Cabecera|71,21||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19290|Florencia|Pobreza|Indicadores de pobreza|IPM - Cabecera|59,33||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19300|Guachené|Pobreza|Indicadores de pobreza|IPM - Cabecera|||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19318|Guapi|Pobreza|Indicadores de pobreza|IPM - Cabecera|77,00||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19355|Inzá|Pobreza|Indicadores de pobreza|IPM - Cabecera|41,75||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19364|Jambaló|Pobreza|Indicadores de pobreza|IPM - Cabecera|57,82||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19392|La Sierra|Pobreza|Indicadores de pobreza|IPM - Cabecera|52,26||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19397|La Vega|Pobreza|Indicadores de pobreza|IPM - Cabecera|68,80||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19418|López|Pobreza|Indicadores de pobreza|IPM - Cabecera|75,11||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19450|Mercaderes|Pobreza|Indicadores de pobreza|IPM - Cabecera|54,33||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19455|Miranda|Pobreza|Indicadores de pobreza|IPM - Cabecera|65,47||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19473|Morales|Pobreza|Indicadores de pobreza|IPM - Cabecera|63,15||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19513|Padilla|Pobreza|Indicadores de pobreza|IPM - Cabecera|59,35||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19517|Paéz|Pobreza|Indicadores de pobreza|IPM - Cabecera|44,58||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19532|Patía|Pobreza|Indicadores de pobreza|IPM - Cabecera|61,98||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19533|Piamonte|Pobreza|Indicadores de pobreza|IPM - Cabecera|89,12||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19548|Piendamó|Pobreza|Indicadores de pobreza|IPM - Cabecera|63,41||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
18|Caquetá|18785|Solita|Pobreza|Indicadores de pobreza|IPM - Cabecera|78,98||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
18|Caquetá|18592|Puerto Rico|Pobreza|Indicadores de pobreza|IPM - Cabecera|66,75||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
18|Caquetá|18610|San José del Fragua|Pobreza|Indicadores de pobreza|IPM - Cabecera|66,96||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
18|Caquetá|18753|San Vicente del Caguán|Pobreza|Indicadores de pobreza|IPM - Cabecera|74,26||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
18|Caquetá|18756|Solano|Pobreza|Indicadores de pobreza|IPM - Cabecera|75,75||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
18|Caquetá|18860|Valparaíso|Pobreza|Indicadores de pobreza|IPM - Cabecera|68,44||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19573|Puerto Tejada|Pobreza|Indicadores de pobreza|IPM - Cabecera|51,68||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19585|Puracé|Pobreza|Indicadores de pobreza|IPM - Cabecera|66,78||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19622|Rosas|Pobreza|Indicadores de pobreza|IPM - Cabecera|43,78||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19693|San Sebastián|Pobreza|Indicadores de pobreza|IPM - Cabecera|59,45||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19698|Santander de Quilichao|Pobreza|Indicadores de pobreza|IPM - Cabecera|41,54||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19701|Santa Rosa|Pobreza|Indicadores de pobreza|IPM - Cabecera|81,41||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19743|Silvia|Pobreza|Indicadores de pobreza|IPM - Cabecera|32,13||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19760|Sotará|Pobreza|Indicadores de pobreza|IPM - Cabecera|49,60||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19780|Suárez|Pobreza|Indicadores de pobreza|IPM - Cabecera|57,62||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19785|Sucre|Pobreza|Indicadores de pobreza|IPM - Cabecera|60,08||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19807|Timbío|Pobreza|Indicadores de pobreza|IPM - Cabecera|44,31||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19809|Timbiquí|Pobreza|Indicadores de pobreza|IPM - Cabecera|80,32||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19821|Toribío|Pobreza|Indicadores de pobreza|IPM - Cabecera|58,86||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19824|Totoró|Pobreza|Indicadores de pobreza|IPM - Cabecera|64,72||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
19|Cauca|19845|Villa Rica|Pobreza|Indicadores de pobreza|IPM - Cabecera|60,54||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20000|Cesar|Pobreza|Indicadores de pobreza|IPM - Cabecera|57,39||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20001|Valledupar|Pobreza|Indicadores de pobreza|IPM - Cabecera|46,68||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20011|Aguachica|Pobreza|Indicadores de pobreza|IPM - Cabecera|67,47||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20013|Agustín Codazzi|Pobreza|Indicadores de pobreza|IPM - Cabecera|66,30||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20032|Astrea|Pobreza|Indicadores de pobreza|IPM - Cabecera|76,69||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
20|Cesar|20045|Becerril|Pobreza|Indicadores de pobreza|IPM - Cabecera|60,68||2005|12|DANE|Porcentaje (el valor está multiplicado por 100)
